מספר,חובה,דרוש,מומלץ
20476,,, הקורס אשנב למתמטיקה.
20109,,, הקורס אשנב למתמטיקה.
20229,, הקורס אלגברה לינארית 1.,
20474,,, הקורס אשנב למתמטיקה.
20475,, הקורס חשבון אינפיניטסימלי 1 (‏&#xFEFF;20474‎)‏.,
20425,, צמד הקורסים חשבון אינפיניטסימלי 1 (‏&#xFEFF;20474‎)‏ + חשבון אינפיניטסימלי 2 (‏&#xFEFF;20475‎)‏ או הקורס חשבון דיפרנציאלי ואינטגרלי א.,
20466,,| שני קורסים במתמטיקה, כולל הקורס: מתמטיקה בדידה: תורת הקבוצות, קומבינטוריקה ותורת הגרפים ושני קורסים במדעי המחשב.|,
20441,,, קורס אחד במתמטיקה.
20407,,| הקורסים מבוא למדעי המחשב ושפת Java2 (‏&#xFEFF;או יסודות התכנות בשפת Java‎)‏, מתמטיקה בדידה: תורת הקבוצות, קומבינטוריקה ותורת הגרפים.|,
20417,,| הקורסים אלגברה לינארית 1 (‏&#xFEFF;או אלגברה ליניארית לתלמידי מדעים‎)‏ 1, מבני נתונים ומבוא לאלגוריתמים.|,
20407,,| הקורסים מבוא למדעי המחשב ושפת Java2 (‏&#xFEFF;או יסודות התכנות בשפת Java‎)‏, מתמטיקה בדידה: תורת הקבוצות, קומבינטוריקה ותורת הגרפים.|,
20417,,| הקורסים אלגברה לינארית 1 (‏&#xFEFF;או אלגברה ליניארית לתלמידי מדעים‎)‏ 1, מבני נתונים ומבוא לאלגוריתמים.|,
20465,, הקורס מבוא למדעי המחשב ושפת Java.,
20440,,| הקורסים מבוא למדעי המחשב ושפת Java,2 מתמטיקה בדידה: תורת הקבוצות, קומבינטוריקה ותורת הגרפים.|,| הקורסים חשבון אינפיניטסימלי 1 (‏&#xFEFF;20474‎)‏,3 אלגברה לינארית 1 (‏&#xFEFF;או אלגברה ליניארית לתלמידי מדעים ‎)‏ 4.|
20272,, הקורס מבוא למדעי המחשב ושפת Java.,| הקורס מתמטיקה בדידה: תורת הקבוצות, קומבינטוריקה ותורת הגרפים (‏&#xFEFF;או נושאים במתמטיקה לתלמידי מדעי החברה: פרקים בתורת הקבוצות, בלוגיקה ובאלגברה לינארית‎)‏.|
20471,, מערכות ספרתיות., מבני נתונים ומבוא לאלגוריתמים (‏&#xFEFF;או מבני נתונים‎)‏.
20594, עמידה בדרישות האנגלית ובדרישות ההדרכה הביבליוגרפית בספרייה.,| הקורסים מעבדה בתכנות מערכות,  מבני נתונים ומבוא לאלגוריתמים (‏&#xFEFF;או מבני נתונים‎)‏.|, ארגון המחשב.
20585, עמידה בדרישות האנגלית ובדרישות ההדרכה הביבליוגרפית בספרייה.,| הקורסים אלגוריתמים, אוטומטים ושפות פורמליות.|,| הקורסים אלגברה לינארית 1, הסתברות לתלמידי מדעי המחשב.|
